a ㄚ
hiaqqqqq ㄏㄧㄚ˙
hian ㄏㄧㄢ
hianq ㄏㄧㄢˉ
hianqq ㄏㄧㄢˊ
hianqqq ㄏㄧㄢˇ
hianqqqq ㄏㄧㄢˋ
hianqqqqq ㄏㄧㄢ˙
hiang ㄏㄧㄤ
hiangq ㄏㄧㄤˉ
hiangqq ㄏㄧㄤˊ
hiangqqq ㄏㄧㄤˇ
hiangqqqq ㄏㄧㄤˋ
hiangqqqqq ㄏㄧㄤ˙
hiao ㄏㄧㄠ
hiaoq ㄏㄧㄠˉ
hiaoqq ㄏㄧㄠˊ
hiaoqqq ㄏㄧㄠˇ
hiaoqqqq ㄏㄧㄠˋ
hiaoqqqqq ㄏㄧㄠ˙
hie ㄏㄧㄝ
hieq ㄏㄧㄝˉ
hieqq ㄏㄧㄝˊ
hieqqq ㄏㄧㄝˇ
hieqqqq ㄏㄧㄝˋ
hieqqqqq ㄏㄧㄝ˙
hin ㄏㄧㄣ
hinq ㄏㄧㄣˉ
hinqq ㄏㄧㄣˊ
hinqqq ㄏㄧㄣˇ
hinqqqq ㄏㄧㄣˋ
hinqqqqq ㄏㄧㄣ˙
hing ㄏㄧㄥ
hingq ㄏㄧㄥˉ
hingqq ㄏㄧㄥˊ
hingqqq ㄏㄧㄥˇ
hingqqqq ㄏㄧㄥˋ
hingqqqqq ㄏㄧㄥ˙
hiong ㄏㄩㄥ
hiongq ㄏㄩㄥˉ
hiongqq ㄏㄩㄥˊ
hiongqqq ㄏㄩㄥˇ
hiongqqqq ㄏㄩㄥˋ
hiongqqqqq ㄏㄩㄥ˙
hiou ㄏㄧㄡ
hiouq ㄏㄧㄡˉ
hiouqq ㄏㄧㄡˊ
hiouqqq ㄏㄧㄡˇ
hiouqqqq ㄏㄧㄡˋ
hiouqqqqq ㄏㄧㄡ˙
hiu ㄏㄧㄡ
hiuq ㄏㄧㄡˉ
hiuqq ㄏㄧㄡˊ
hiuqqq ㄏㄧㄡˇ
hiuqqqq ㄏㄧㄡˋ
hiuqqqqq ㄏㄧㄡ˙
hiung ㄏㄩㄥ
hiungq ㄏㄩㄥˉ
hiungqq ㄏㄩㄥˊ
hiungqqq ㄏㄩㄥˇ
hiungqqqq ㄏㄩㄥˋ
hiungqqqqq ㄏㄩㄥ˙
ho ㄏㄛ
hoq ㄏㄛˉ
hoqq ㄏㄛˊ
hoqqq ㄏㄛˇ
hoqqqq ㄏㄛˋ
hoqqqqq ㄏㄛ˙
hong ㄏㄨㄥ
hongq ㄏㄨㄥˉ
hongqq ㄏㄨㄥˊ
hongqqq ㄏㄨㄥˇ
hongqqqq ㄏㄨㄥˋ
hongqqqqq ㄏㄨㄥ˙
hou ㄏㄡ
houq ㄏㄡˉ
houqq ㄏㄡˊ
houqqq ㄏㄡˇ
houqqqq ㄏㄡˋ
houqqqqq ㄏㄡ˙
hu ㄏㄨ
huq ㄏㄨˉ
huqq ㄏㄨˊ
huqqq ㄏㄨˇ
huqqqq ㄏㄨˋ
huqqqqq ㄏㄨ˙
hua ㄏㄨㄚ
huaq ㄏㄨㄚˉ
huaqq ㄏㄨㄚˊ
huaqqq ㄏㄨㄚˇ
huaqqqq ㄏㄨㄚˋ
huaqqqqq ㄏㄨㄚ˙
huai ㄏㄨㄞ
huaiq ㄏㄨㄞˉ
huaiqq ㄏㄨㄞˊ
huaiqqq ㄏㄨㄞˇ
huaiqqqq ㄏㄨㄞˋ
huaiqqqqq ㄏㄨㄞ˙
huan ㄏㄨㄢ
huanq ㄏㄨㄢˉ
huanqq ㄏㄨㄢˊ
huanqqq ㄏㄨㄢˇ
huanqqqq ㄏㄨㄢˋ
huanqqqqq ㄏㄨㄢ˙
huang ㄏㄨㄤ
huangq ㄏㄨㄤˉ
huangqq ㄏㄨㄤˊ
huangqqq ㄏㄨㄤˇ
huangqqqq ㄏㄨㄤˋ
huangqqqqq ㄏㄨㄤ˙
hui ㄏㄨㄟ
huiq ㄏㄨㄟˉ
huiqq ㄏㄨㄟˊ
huiqqq ㄏㄨㄟˇ
huiqqqq ㄏㄨㄟˋ
huiqqqqq ㄏㄨㄟ˙
hun ㄏㄨㄣ
hunq ㄏㄨㄣˉ
hunqq ㄏㄨㄣˊ
hunqqq ㄏㄨㄣˇ
hunqqqq ㄏㄨㄣˋ
hunqqqqq ㄏㄨㄣ˙
hung ㄏㄨㄥ
hungq ㄏㄨㄥˉ
hungqq ㄏㄨㄥˊ
hungqqq ㄏㄨㄥˇ
hungqqqq ㄏㄨㄥˋ
hungqqqqq ㄏㄨㄥ˙
huo ㄏㄨㄛ
huoq ㄏㄨㄛˉ
huoqq ㄏㄨㄛˊ
huoqqq ㄏㄨㄛˇ
huoqqqq ㄏㄨㄛˋ
huoqqqqq ㄏㄨㄛ˙
hv ㄏㄩ
hvq ㄏㄩˉ
hvqq ㄏㄩˊ
hvqqq ㄏㄩˇ
hvqqqq ㄏㄩˋ
hvqqqqq ㄏㄩ˙
hve ㄏㄩㄝ
hveq ㄏㄩㄝˉ
hveqq ㄏㄩㄝˊ
hveqqq ㄏㄩㄝˇ
hveqqqq ㄏㄩㄝˋ
hveqqqqq ㄏㄩㄝ˙
hvn ㄏㄩㄣ
hvnq ㄏㄩㄣˉ
hvnqq ㄏㄩㄣˊ
hvnqqq ㄏㄩㄣˇ
hvnqqqq ㄏㄩㄣˋ
hvnqqqqq ㄏㄩㄣ˙
hvng ㄏㄩㄥ
hvngq ㄏㄩㄥˉ
hvngqq ㄏㄩㄥˊ
hvngqqq ㄏㄩㄥˇ
hvngqqqq ㄏㄩㄥˋ
hvngqqqqq ㄏㄩㄥ˙
hyu ㄏㄩ
hyuq ㄏㄩˉ
hyuqq ㄏㄩˊ
hyuqqq ㄏㄩˇ
hyuqqqq ㄏㄩˋ
hyuqqqqq ㄏㄩ˙
hyue ㄏㄩㄝ
hyueq ㄏㄩㄝˉ
hyueqq ㄏㄩㄝˊ
hyueqqq ㄏㄩㄝˇ
hyueqqqq ㄏㄩㄝˋ
hyueqqqqq ㄏㄩㄝ˙
hyun ㄏㄩㄣ
hyunq ㄏㄩㄣˉ
hyunqq ㄏㄩㄣˊ
hyunqqq ㄏㄩㄣˇ
hyunqqqq ㄏㄩㄣˋ
hyunqqqqq ㄏㄩㄣ˙
hyung ㄏㄩㄥ
hyungq ㄏㄩㄥˉ
hyungqq ㄏㄩㄥˊ
hyungqqq ㄏㄩㄥˇ
hyungqqqq ㄏㄩㄥˋ
hyungqqqqq ㄏㄩㄥ˙
i ㄧ
iq ㄧˉ
iqq ㄧˊ
iqqq ㄧˇ
iqqqq ㄧˋ
iqqqqq ㄧ˙
ia ㄧㄚ
iaq ㄧㄚˉ
iaqq ㄧㄚˊ
iaqqq ㄧㄚˇ
iaqqqq ㄧㄚˋ
iaqqqqq ㄧㄚ˙
ian ㄧㄢ
ianq ㄧㄢˉ
ianqq ㄧㄢˊ
ianqqq ㄧㄢˇ
ianqqqq ㄧㄢˋ
ianqqqqq ㄧㄢ˙
iang ㄧㄤ
iangq ㄧㄤˉ
iangqq ㄧㄤˊ
iangqqq ㄧㄤˇ
iangqqqq ㄧㄤˋ
iangqqqqq ㄧㄤ˙
iao ㄧㄠ
iaoq ㄧㄠˉ
iaoqq ㄧㄠˊ
iaoqqq ㄧㄠˇ
iaoqqqq ㄧㄠˋ
iaoqqqqq ㄧㄠ˙
ie ㄧㄝ
ieq ㄧㄝˉ
ieqq ㄧㄝˊ
ieqqq ㄧㄝˇ
ieqqqq ㄧㄝˋ
ieqqqqq ㄧㄝ˙
in ㄧㄣ
inq ㄧㄣˉ
inqq ㄧㄣˊ
inqqq ㄧㄣˇ
inqqqq ㄧㄣˋ
inqqqqq ㄧㄣ˙
ing ㄧㄥ
ingq ㄧㄥˉ
ingqq ㄧㄥˊ
ingqqq ㄧㄥˇ
ingqqqq ㄧㄥˋ
ingqqqqq ㄧㄥ˙
iong ㄩㄥ
iongq ㄩㄥˉ
iongqq ㄩㄥˊ
iongqqq ㄩㄥˇ
iongqqqq ㄩㄥˋ
iongqqqqq ㄩㄥ˙
iou ㄧㄡ
iouq ㄧㄡˉ
iouqq ㄧㄡˊ
iouqqq ㄧㄡˇ
iouqqqq ㄧㄡˋ
iouqqqqq ㄧㄡ˙
iu ㄧㄡ
iuq ㄧㄡˉ
iuqq ㄧㄡˊ
iuqqq ㄧㄡˇ
iuqqqq ㄧㄡˋ
iuqqqqq ㄧㄡ˙
iung ㄩㄥ
iungq ㄩㄥˉ
iungqq ㄩㄥˊ
iungqqq ㄩㄥˇ
iungqqqq ㄩㄥˋ
iungqqqqq ㄩㄥ˙
ja ㄐㄚ
jaq ㄐㄚˉ
jaqq ㄐㄚˊ
jaqqq ㄐㄚˇ
jaqqqq ㄐㄚˋ
jaqqqqq ㄐㄚ˙
jai ㄐㄞ
jaiq ㄐㄞˉ
jaiqq ㄐㄞˊ
jaiqqq ㄐㄞˇ
jaiqqqq ㄐㄞˋ
jaiqqqqq ㄐㄞ˙
jan ㄐㄢ
janq ㄐㄢˉ
janqq ㄐㄢˊ
janqqq ㄐㄢˇ
janqqqq ㄐㄢˋ
janqqqqq ㄐㄢ˙
jang ㄐㄤ
jangq ㄐㄤˉ
jangqq ㄐㄤˊ
jangqqq ㄐㄤˇ
jangqqqq ㄐㄤˋ
jangqqqqq ㄐㄤ˙
jao ㄐㄠ
jaoq ㄐㄠˉ
jaoqq ㄐㄠˊ
jaoqqq ㄐㄠˇ
jaoqqqq ㄐㄠˋ
jaoqqqqq ㄐㄠ˙
je ㄐㄜ
jeq ㄐㄜˉ
jeqq ㄐㄜˊ
jeqqq ㄐㄜˇ
jeqqqq ㄐㄜˋ
jeqqqqq ㄐㄜ˙
jei ㄐㄟ
jeiq ㄐㄟˉ
jeiqq ㄐㄟˊ
jeiqqq ㄐㄟˇ
jeiqqqq ㄐㄟˋ
jeiqqqqq ㄐㄟ˙
jen ㄐㄣ
jenq ㄐㄣˉ
jenqq ㄐㄣˊ
jenqqq ㄐㄣˇ
jenqqqq ㄐㄣˋ
jenqqqqq ㄐㄣ˙
jeng ㄐㄥ
jengq ㄐㄥˉ
jengqq ㄐㄥˊ
jengqqq ㄐㄥˇ
jengqqqq ㄐㄥˋ
jengqqqqq ㄐㄥ˙
jer ㄐㄦ
jerq ㄐㄦˉ
jerqq ㄐㄦˊ
jerqqq ㄐㄦˇ
jerqqqq ㄐㄦˋ
jerqqqqq ㄐㄦ˙
ji ㄐㄧ
jiq ㄐㄧˉ
jiqq ㄐㄧˊ
jiqqq ㄐㄧˇ
jiqqqq ㄐㄧˋ
jiqqqqq ㄐㄧ˙
jia ㄐㄧㄚ
jiaq ㄐㄧㄚˉ
jiaqq ㄐㄧㄚˊ
jiaqqq ㄐㄧㄚˇ
jiaqqqq ㄐㄧㄚˋ
jiaqqqqq ㄐㄧㄚ˙
jian ㄐㄧㄢ
jianq ㄐㄧㄢˉ
jianqq ㄐㄧㄢˊ
jianqqq ㄐㄧㄢˇ
jianqqqq ㄐㄧㄢˋ
jianqqqqq ㄐㄧㄢ˙
jiang ㄐㄧㄤ
jiangq ㄐㄧㄤˉ
jiangqq ㄐㄧㄤˊ
jiangqqq ㄐㄧㄤˇ
jiangqqqq ㄐㄧㄤˋ
jiangqqqqq ㄐㄧㄤ˙
jiao ㄐㄧㄠ
jiaoq ㄐㄧㄠˉ
jiaoqq ㄐㄧㄠˊ
jiaoqqq ㄐㄧㄠˇ
jiaoqqqq ㄐㄧㄠˋ
jiaoqqqqq ㄐㄧㄠ˙
jie ㄐㄧㄝ
jieq ㄐㄧㄝˉ
jieqq ㄐㄧㄝˊ
jieqqq ㄐㄧㄝˇ
jieqqqq ㄐㄧㄝˋ
jieqqqqq ㄐㄧㄝ˙
jin ㄐㄧㄣ
jinq ㄐㄧㄣˉ
jinqq ㄐㄧㄣˊ
jinqqq ㄐㄧㄣˇ
jinqqqq ㄐㄧㄣˋ
jinqqqqq ㄐㄧㄣ˙
jing ㄐㄧㄥ
jingq ㄐㄧㄥˉ
jingqq ㄐㄧㄥˊ
jingqqq ㄐㄧㄥˇ
jingqqqq ㄐㄧㄥˋ
jingqqqqq ㄐㄧㄥ˙
jiong ㄐㄩㄥ
jiongq ㄐㄩㄥˉ
jiongqq ㄐㄩㄥˊ
jiongqqq ㄐㄩㄥˇ
jiongqqqq ㄐㄩㄥˋ
jiongqqqqq ㄐㄩㄥ˙
jiou ㄐㄧㄡ
jiouq ㄐㄧㄡˉ
jiouqq ㄐㄧㄡˊ
jiouqqq ㄐㄧㄡˇ
jiouqqqq ㄐㄧㄡˋ
jiouqqqqq ㄐㄧㄡ˙
jiu ㄐㄧㄡ
jiuq ㄐㄧㄡˉ
jiuqq ㄐㄧㄡˊ
jiuqqq ㄐㄧㄡˇ
jiuqqqq ㄐㄧㄡˋ
jiuqqqqq ㄐㄧㄡ˙
jiung ㄐㄩㄥ
jiungq ㄐㄩㄥˉ
jiungqq ㄐㄩㄥˊ
jiungqqq ㄐㄩㄥˇ
jiungqqqq ㄐㄩㄥˋ
jiungqqqqq ㄐㄩㄥ˙
jo ㄐㄛ
joq ㄐㄛˉ
joqq ㄐㄛˊ
joqqq ㄐㄛˇ
joqqqq ㄐㄛˋ
joqqqqq ㄐㄛ˙
jong ㄐㄨㄥ
jongq ㄐㄨㄥˉ
jongqq ㄐㄨㄥˊ
jongqqq ㄐㄨㄥˇ
jongqqqq ㄐㄨㄥˋ
jongqqqqq ㄐㄨㄥ˙
jou ㄐㄡ
jouq ㄐㄡˉ
jouqq ㄐㄡˊ
jouqqq ㄐㄡˇ
jouqqqq ㄐㄡˋ
jouqqqqq ㄐㄡ˙
ju ㄐㄨ
juq ㄐㄨˉ
juqq ㄐㄨˊ
juqqq ㄐㄨˇ
juqqqq ㄐㄨˋ
juqqqqq ㄐㄨ˙
jua ㄐㄨㄚ
juaq ㄐㄨㄚˉ
juaqq ㄐㄨㄚˊ
juaqqq ㄐㄨㄚˇ
juaqqqq ㄐㄨㄚˋ
juaqqqqq ㄐㄨㄚ˙
juai ㄐㄨㄞ
juaiq ㄐㄨㄞˉ
juaiqq ㄐㄨㄞˊ
juaiqqq ㄐㄨㄞˇ
juaiqqqq ㄐㄨㄞˋ
juaiqqqqq ㄐㄨㄞ˙
juan ㄐㄨㄢ
juanq ㄐㄨㄢˉ
juanqq ㄐㄨㄢˊ
juanqqq ㄐㄨㄢˇ
juanqqqq ㄐㄨㄢˋ
juanqqqqq ㄐㄨㄢ˙
juang ㄐㄨㄤ
juangq ㄐㄨㄤˉ
juangqq ㄐㄨㄤˊ
juangqqq ㄐㄨㄤˇ
juangqqqq ㄐㄨㄤˋ
juangqqqqq ㄐㄨㄤ˙
jue ㄐㄩㄝ
jueq ㄐㄩㄝˉ
jueqq ㄐㄩㄝˊ
jueqqq ㄐㄩㄝˇ
jueqqqq ㄐㄩㄝˋ
jueqqqqq ㄐㄩㄝ˙
jui ㄐㄨㄟ
juiq ㄐㄨㄟˉ
juiqq ㄐㄨㄟˊ
juiqqq ㄐㄨㄟˇ
juiqqqq ㄐㄨㄟˋ
juiqqqqq ㄐㄨㄟ˙
jun ㄐㄨㄣ
junq ㄐㄨㄣˉ
junqq ㄐㄨㄣˊ
junqqq ㄐㄨㄣˇ
junqqqq ㄐㄨㄣˋ
junqqqqq ㄐㄨㄣ˙
jung ㄐㄨㄥ
jungq ㄐㄨㄥˉ
jungqq ㄐㄨㄥˊ
jungqqq ㄐㄨㄥˇ
jungqqqq ㄐㄨㄥˋ
jungqqqqq ㄐㄨㄥ˙
juo ㄐㄨㄛ
juoq ㄐㄨㄛˉ
juoqq ㄐㄨㄛˊ
juoqqq ㄐㄨㄛˇ
juoqqqq ㄐㄨㄛˋ
juoqqqqq ㄐㄨㄛ˙
jv ㄐㄩ
jvq ㄐㄩˉ
jvqq ㄐㄩˊ
jvqqq ㄐㄩˇ
jvqqqq ㄐㄩˋ
jvqqqqq ㄐㄩ˙
jve ㄐㄩㄝ
jveq ㄐㄩㄝˉ
jveqq ㄐㄩㄝˊ
jveqqq ㄐㄩㄝˇ
jveqqqq ㄐㄩㄝˋ
jveqqqqq ㄐㄩㄝ˙
jvn ㄐㄩㄣ
jvnq ㄐㄩㄣˉ
jvnqq ㄐㄩㄣˊ
jvnqqq ㄐㄩㄣˇ
jvnqqqq ㄐㄩㄣˋ
jvnqqqqq ㄐㄩㄣ˙
jvng ㄐㄩㄥ
jvngq ㄐㄩㄥˉ
jvngqq ㄐㄩㄥˊ
jvngqqq ㄐㄩㄥˇ
jvngqqqq ㄐㄩㄥˋ
jvngqqqqq ㄐㄩㄥ˙
jyu ㄐㄩ
jyuq ㄐㄩˉ
jyuqq ㄐㄩˊ
jyuqqq ㄐㄩˇ
jyuqqqq ㄐㄩˋ
jyuqqqqq ㄐㄩ˙
jyue ㄐㄩㄝ
jyueq ㄐㄩㄝˉ
jyueqq ㄐㄩㄝˊ
jyueqqq ㄐㄩㄝˇ
jyueqqqq ㄐㄩㄝˋ
jyueqqqqq ㄐㄩㄝ˙
jyun ㄐㄩㄣ
jyunq ㄐㄩㄣˉ
jyunqq ㄐㄩㄣˊ
jyunqqq ㄐㄩㄣˇ
jyunqqqq ㄐㄩㄣˋ
jyunqqqqq ㄐㄩㄣ˙
jyung ㄐㄩㄥ
jyungq ㄐㄩㄥˉ
jyungqq ㄐㄩㄥˊ
jyungqqq ㄐㄩㄥˇ
jyungqqqq ㄐㄩㄥˋ
jyungqqqqq ㄐㄩㄥ˙
ka ㄎㄚ
kaq ㄎㄚˉ
kaqq ㄎㄚˊ
kaqqq ㄎㄚˇ
kaqqqq ㄎㄚˋ
kaqqqqq ㄎㄚ˙
kai ㄎㄞ
kaiq ㄎㄞˉ
kaiqq ㄎㄞˊ
kaiqqq ㄎㄞˇ
kaiqqqq ㄎㄞˋ
kaiqqqqq ㄎㄞ˙
kan ㄎㄢ
kanq ㄎㄢˉ
kanqq ㄎㄢˊ
kanqqq ㄎㄢˇ
kanqqqq ㄎㄢˋ
kanqqqqq ㄎㄢ˙
kang ㄎㄤ
kangq ㄎㄤˉ
kangqq ㄎㄤˊ
kangqqq ㄎㄤˇ
kangqqqq ㄎㄤˋ
kangqqqqq ㄎㄤ˙
kao ㄎㄠ
kaoq ㄎㄠˉ
kaoqq ㄎㄠˊ
kaoqqq ㄎㄠˇ
kaoqqqq ㄎㄠˋ
kaoqqqqq ㄎㄠ˙
ke ㄎㄜ
keq ㄎㄜˉ
keqq ㄎㄜˊ
keqqq ㄎㄜˇ
keqqqq ㄎㄜˋ
keqqqqq ㄎㄜ˙
kei ㄎㄟ
keiq ㄎㄟˉ
keiqq ㄎㄟˊ
keiqqq ㄎㄟˇ
keiqqqq ㄎㄟˋ
keiqqqqq ㄎㄟ˙
ken ㄎㄣ
kenq ㄎㄣˉ
kenqq ㄎㄣˊ
kenqqq ㄎㄣˇ
kenqqqq ㄎㄣˋ
kenqqqqq ㄎㄣ˙
keng ㄎㄥ
kengq ㄎㄥˉ
kengqq ㄎㄥˊ
kengqqq ㄎㄥˇ
kengqqqq ㄎㄥˋ
kengqqqqq ㄎㄥ˙
ker ㄎㄦ
kerq ㄎㄦˉ
kerqq ㄎㄦˊ
kerqqq ㄎㄦˇ
kerqqqq ㄎㄦˋ
kerqqqqq ㄎㄦ˙
ki ㄎㄧ
kiq ㄎㄧˉ
kiqq ㄎㄧˊ
kiqqq ㄎㄧˇ
kiqqqq ㄎㄧˋ
kiqqqqq ㄎㄧ˙
kia ㄎㄧㄚ
kiaq ㄎㄧㄚˉ
kiaqq ㄎㄧㄚˊ
kiaqqq ㄎㄧㄚˇ
kiaqqqq ㄎㄧㄚˋ
kiaqqqqq ㄎㄧㄚ˙
kian ㄎㄧㄢ
kianq ㄎㄧㄢˉ
kianqq ㄎㄧㄢˊ
kianqqq ㄎㄧㄢˇ
kianqqqq ㄎㄧㄢˋ
kianqqqqq ㄎㄧㄢ˙
kiang ㄎㄧㄤ
kiangq ㄎㄧㄤˉ
kiangqq ㄎㄧㄤˊ
kiangqqq ㄎㄧㄤˇ
kiangqqqq ㄎㄧㄤˋ
kiangqqqqq ㄎㄧㄤ˙
kiao ㄎㄧㄠ
kiaoq ㄎㄧㄠˉ
kiaoqq ㄎㄧㄠˊ
kiaoqqq ㄎㄧㄠˇ
kiaoqqqq ㄎㄧㄠˋ
kiaoqqqqq ㄎㄧㄠ˙
kie ㄎㄧㄝ
kieq ㄎㄧㄝˉ
kieqq ㄎㄧㄝˊ
kieqqq ㄎㄧㄝˇ
kieqqqq ㄎㄧㄝˋ
kieqqqqq ㄎㄧㄝ˙
kin ㄎㄧㄣ
kinq ㄎㄧㄣˉ
kinqq ㄎㄧㄣˊ
kinqqq ㄎㄧㄣˇ
kinqqqq ㄎㄧㄣˋ
kinqqqqq ㄎㄧㄣ˙
king ㄎㄧㄥ
kingq ㄎㄧㄥˉ
kingqq ㄎㄧㄥˊ
kingqqq ㄎㄧㄥˇ
kingqqqq ㄎㄧㄥˋ
kingqqqqq ㄎㄧㄥ˙
kiong ㄎㄩㄥ
kiongq ㄎㄩㄥˉ
kiongqq ㄎㄩㄥˊ
kiongqqq ㄎㄩㄥˇ
kiongqqqq ㄎㄩㄥˋ
kiongqqqqq ㄎㄩㄥ˙
kiou ㄎㄧㄡ
kiouq ㄎㄧㄡˉ
kiouqq ㄎㄧㄡˊ
kiouqqq ㄎㄧㄡˇ
kiouqqqq ㄎㄧㄡˋ
kiouqqqqq ㄎㄧㄡ˙
kiu ㄎㄧㄡ
kiuq ㄎㄧㄡˉ
kiuqq ㄎㄧㄡˊ
kiuqqq ㄎㄧㄡˇ
kiuqqqq ㄎㄧㄡˋ
kiuqqqqq ㄎㄧㄡ˙
kiung ㄎㄩㄥ
kiungq ㄎㄩㄥˉ
kiungqq ㄎㄩㄥˊ
kiungqqq ㄎㄩㄥˇ
kiungqqqq ㄎㄩㄥˋ
kiungqqqqq ㄎㄩㄥ˙
ko ㄎㄛ
koq ㄎㄛˉ
koqq ㄎㄛˊ
koqqq ㄎㄛˇ
koqqqq ㄎㄛˋ
koqqqqq ㄎㄛ˙
kong ㄎㄨㄥ
kongq ㄎㄨㄥˉ
kongqq ㄎㄨㄥˊ
kongqqq ㄎㄨㄥˇ
kongqqqq ㄎㄨㄥˋ
kongqqqqq ㄎㄨㄥ˙
kou ㄎㄡ
kouq ㄎㄡˉ
kouqq ㄎㄡˊ
kouqqq ㄎㄡˇ
kouqqqq ㄎㄡˋ
kouqqqqq ㄎㄡ˙
ku ㄎㄨ
kuq ㄎㄨˉ
kuqq ㄎㄨˊ
kuqqq ㄎㄨˇ
kuqqqq ㄎㄨˋ
kuqqqqq ㄎㄨ˙
kua ㄎㄨㄚ
kuaq ㄎㄨㄚˉ
kuaqq ㄎㄨㄚˊ
kuaqqq ㄎㄨㄚˇ
kuaqqqq ㄎㄨㄚˋ
kuaqqqqq ㄎㄨㄚ˙
kuai ㄎㄨㄞ
kuaiq ㄎㄨㄞˉ
kuaiqq ㄎㄨㄞˊ
kuaiqqq ㄎㄨㄞˇ
kuaiqqqq ㄎㄨㄞˋ
kuaiqqqqq ㄎㄨㄞ˙
kuan ㄎㄨㄢ
kuanq ㄎㄨㄢˉ
kuanqq ㄎㄨㄢˊ
kuanqqq ㄎㄨㄢˇ
kuanqqqq ㄎㄨㄢˋ
kuanqqqqq ㄎㄨㄢ˙
kuang ㄎㄨㄤ
kuangq ㄎㄨㄤˉ
kuangqq ㄎㄨㄤˊ
kuangqqq ㄎㄨㄤˇ
kuangqqqq ㄎㄨㄤˋ
kuangqqqqq ㄎㄨㄤ˙
kui ㄎㄨㄟ
kuiq ㄎㄨㄟˉ
kuiqq ㄎㄨㄟˊ
kuiqqq ㄎㄨㄟˇ
kuiqqqq ㄎㄨㄟˋ
kuiqqqqq ㄎㄨㄟ˙
kun ㄎㄨㄣ
kunq ㄎㄨㄣˉ
kunqq ㄎㄨㄣˊ
kunqqq ㄎㄨㄣˇ
kunqqqq ㄎㄨㄣˋ
kunqqqqq ㄎㄨㄣ˙
kung ㄎㄨㄥ
kungq ㄎㄨㄥˉ
kungqq ㄎㄨㄥˊ
kungqqq ㄎㄨㄥˇ
kungqqqq ㄎㄨㄥˋ
kungqqqqq ㄎㄨㄥ˙
kuo ㄎㄨㄛ
kuoq ㄎㄨㄛˉ
kuoqq ㄎㄨㄛˊ
kuoqqq ㄎㄨㄛˇ
kuoqqqq ㄎㄨㄛˋ
kuoqqqqq ㄎㄨㄛ˙
kv ㄎㄩ
kvq ㄎㄩˉ
kvqq ㄎㄩˊ
kvqqq ㄎㄩˇ
kvqqqq ㄎㄩˋ
kvqqqqq ㄎㄩ˙
kve ㄎㄩㄝ
kveq ㄎㄩㄝˉ
kveqq ㄎㄩㄝˊ
kveqqq ㄎㄩㄝˇ
kveqqqq ㄎㄩㄝˋ
kveqqqqq ㄎㄩㄝ˙
kvn ㄎㄩㄣ
kvnq ㄎㄩㄣˉ
kvnqq ㄎㄩㄣˊ
kvnqqq ㄎㄩㄣˇ
kvnqqqq ㄎㄩㄣˋ
kvnqqqqq ㄎㄩㄣ˙
kvng ㄎㄩㄥ
kvngq ㄎㄩㄥˉ
kvngqq ㄎㄩㄥˊ
kvngqqq ㄎㄩㄥˇ
kvngqqqq ㄎㄩㄥˋ
kvngqqqqq ㄎㄩㄥ˙
kyu ㄎㄩ
kyuq ㄎㄩˉ
kyuqq ㄎㄩˊ
kyuqqq ㄎㄩˇ
kyuqqqq ㄎㄩˋ
kyuqqqqq ㄎㄩ˙
kyue ㄎㄩㄝ
kyueq ㄎㄩㄝˉ
kyueqq ㄎㄩㄝˊ
kyueqqq ㄎㄩㄝˇ
kyueqqqq ㄎㄩㄝˋ
kyueqqqqq ㄎㄩㄝ˙
kyun ㄎㄩㄣ
kyunq ㄎㄩㄣˉ
kyunqq ㄎㄩㄣˊ
kyunqqq ㄎㄩㄣˇ
kyunqqqq ㄎㄩㄣˋ
kyunqqqqq ㄎㄩㄣ˙
kyung ㄎㄩㄥ
kyungq ㄎㄩㄥˉ
kyungqq ㄎㄩㄥˊ
kyungqqq ㄎㄩㄥˇ
kyungqqqq ㄎㄩㄥˋ
kyungqqqqq ㄎㄩㄥ˙
la ㄌㄚ
laq ㄌㄚˉ
laqq ㄌㄚˊ
laqqq ㄌㄚˇ
laqqqq ㄌㄚˋ
laqqqqq ㄌㄚ˙
lai ㄌㄞ
laiq ㄌㄞˉ
laiqq ㄌㄞˊ
laiqqq ㄌㄞˇ
laiqqqq ㄌㄞˋ
laiqqqqq ㄌㄞ˙
lan ㄌㄢ
lanq ㄌㄢˉ
lanqq ㄌㄢˊ
lanqqq ㄌㄢˇ
lanqqqq ㄌㄢˋ
lanqqqqq ㄌㄢ˙
lang ㄌㄤ
langq ㄌㄤˉ
langqq ㄌㄤˊ
langqqq ㄌㄤˇ
langqqqq ㄌㄤˋ
langqqqqq ㄌㄤ˙
lao ㄌㄠ
laoq ㄌㄠˉ
laoqq ㄌㄠˊ
laoqqq ㄌㄠˇ
laoqqqq ㄌㄠˋ
laoqqqqq ㄌㄠ˙
le ㄌㄜ
leq ㄌㄜˉ
leqq ㄌㄜˊ
leqqq ㄌㄜˇ
leqqqq ㄌㄜˋ
leqqqqq ㄌㄜ˙
lei ㄌㄟ
leiq ㄌㄟˉ
leiqq ㄌㄟˊ
leiqqq ㄌㄟˇ
leiqqqq ㄌㄟˋ
leiqqqqq ㄌㄟ˙
len ㄌㄣ
lenq ㄌㄣˉ
lenqq ㄌㄣˊ
lenqqq ㄌㄣˇ
lenqqqq ㄌㄣˋ
lenqqqqq ㄌㄣ˙
leng ㄌㄥ
lengq ㄌㄥˉ
lengqq ㄌㄥˊ
